,number_bins,A
260,525.0,48.33415740277336
261,527.0,48.20121421671641
262,529.0,47.971583391968
263,531.0,47.79537614266752
264,533.0,47.6253109061274
265,535.0,47.45806727431111
266,537.0,47.27037919658629
267,539.0,47.090810437535474
268,541.0,46.92520947314963
269,543.0,46.740868577061676
270,545.0,46.57806449069166
271,547.0,46.42185180480489
272,549.0,46.227671033825686
273,551.0,46.073982221763494
274,553.0,45.903399476253455
275,555.0,45.739198982298326
276,557.0,45.556321989637595
277,559.0,45.382750195301135
278,561.0,45.23719977708521
279,563.0,45.08816360555748
280,565.0,44.94361618431674
281,567.0,44.77345472551343
282,569.0,44.619221801362315
283,571.0,44.447634287816186
284,573.0,44.29029000385991
285,575.0,44.129404588951324
286,577.0,43.99460197605514
287,579.0,43.84784774888107
288,581.0,43.695586497676125
289,583.0,43.544422818811064
290,585.0,43.397461649050406
291,587.0,43.25193994569469
292,589.0,43.108797467392584
293,591.0,42.974631974733036
294,593.0,42.912948722682586
295,595.0,42.630250878188335
296,597.0,42.49620745681997
297,599.0,42.36730209707601
298,601.0,42.22231497300349
299,603.0,42.08435147843039
300,605.0,41.938661381372064
301,607.0,41.80202501986242
302,609.0,41.66955295830698
303,611.0,41.54563341287098
304,613.0,41.39855926144193
305,615.0,41.271631398862596
306,617.0,41.12523764913199
307,619.0,41.01707601592811
308,621.0,40.862866780582685
309,623.0,40.7277240443411
310,625.0,40.603073807614805
311,627.0,40.490936638630544
312,629.0,40.34762463275909
313,631.0,40.22184555512407
314,633.0,40.076062514113794
315,635.0,39.96833175381109
316,637.0,39.854644653944945
317,639.0,39.72124115127934
318,641.0,39.59615344929453
319,643.0,39.4753488877064
320,645.0,39.346582566460846
321,647.0,39.253187745701375
322,649.0,39.112035484889276
323,651.0,38.98665115665269
324,653.0,38.86685548393795
325,655.0,38.75471586031524
326,657.0,38.62487156774993
327,659.0,38.51692250053286
328,661.0,38.399841353508045
329,663.0,38.28227911012465
330,665.0,38.15643729816561
331,667.0,38.05090543586364
332,669.0,37.9363188283344
333,671.0,37.81830044441435
334,673.0,37.71574802927525
335,675.0,37.60414134938044
336,677.0,37.502891236824404
337,679.0,37.3655963816459
338,681.0,37.26936481800972
339,683.0,37.157324836710984
340,685.0,37.05062946233941
341,687.0,36.93906463893299
342,689.0,36.82720479070661
343,691.0,36.728404569258664
344,693.0,36.6179963403998
345,695.0,36.51897702182257
346,697.0,36.418178183125754
347,699.0,36.30271142359756
348,701.0,36.21018653923215
349,703.0,36.11450334152878
350,705.0,36.00313939739586
351,707.0,35.88761168696905
352,709.0,35.79372028871094
353,711.0,35.701714591274566
354,713.0,35.59045021616709
355,715.0,35.49209327892314
356,717.0,35.405582128441
357,719.0,35.310487575099145
358,721.0,35.206366642519576
359,723.0,35.10649657583757
360,725.0,35.01560751896446
361,727.0,34.91680819600939
362,729.0,34.80994203174733
363,731.0,34.71343702520187
364,733.0,34.61885695491643
365,735.0,34.527315830486344
366,737.0,34.435224110626386
367,739.0,34.34555995801725
368,741.0,34.25942272703064
369,743.0,34.15833389329977
370,745.0,34.06112250767018
371,747.0,33.971838803905754
372,749.0,33.880612311345175
373,751.0,33.790635705549164
374,753.0,33.70455055444283
375,755.0,33.6296320230522
376,757.0,33.535830425132524
377,759.0,33.44812768356848
378,761.0,33.35448716338961
379,763.0,33.266756250550245
380,765.0,33.18061172373407
381,767.0,33.09391656147622
382,769.0,33.01319934837616
383,771.0,32.925003266339175
384,773.0,32.83673398924164
385,775.0,32.759620264401036
386,777.0,32.67400666890648
387,779.0,32.58140708780186
388,781.0,32.497336424681414
389,783.0,32.416610477166564
390,785.0,32.33506588288313
391,787.0,32.26289925241701
392,789.0,32.19491662536114
393,791.0,32.03869501344808
394,793.0,31.98238723854742
395,795.0,31.918064243170402
396,797.0,31.842897840976548
397,799.0,31.762650471166467
398,801.0,31.68531863053427
399,803.0,31.61641025412901
400,805.0,31.535304762742683
401,807.0,31.453284179325976
402,809.0,31.367303212774654
403,811.0,31.301711362783948
404,813.0,31.225544064770475
