,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9
270,52.0,50.0,52.0,54.0,52.0,52.0,50.0,54.0,52.0,51.0
271,50.0,51.0,52.0,52.0,54.0,54.0,53.0,52.0,54.0,51.0
272,51.0,54.0,52.0,52.0,52.0,53.0,50.0,52.0,53.0,51.0
273,50.0,54.0,52.0,51.0,52.0,53.0,53.0,53.0,52.0,53.0
274,50.0,52.0,53.0,52.0,51.0,52.0,52.0,52.0,52.0,52.0
275,53.0,52.0,51.0,53.0,52.0,55.0,51.0,50.0,52.0,51.0
276,54.0,53.0,52.0,52.0,52.0,51.0,53.0,51.0,51.0,52.0
277,49.0,53.0,53.0,52.0,54.0,49.0,51.0,52.0,52.0,53.0
278,52.0,52.0,51.0,52.0,54.0,51.0,51.0,52.0,53.0,53.0
279,53.0,52.0,51.0,51.0,54.0,52.0,53.0,52.0,53.0,51.0
280,50.0,51.0,50.0,53.0,53.0,51.0,53.0,51.0,54.0,52.0
281,51.0,50.0,53.0,52.0,51.0,52.0,53.0,54.0,53.0,50.0
282,52.0,52.0,52.0,52.0,53.0,54.0,53.0,52.0,51.0,54.0
283,52.0,52.0,53.0,53.0,53.0,55.0,53.0,52.0,54.0,54.0
284,52.0,50.0,52.0,50.0,52.0,53.0,51.0,52.0,52.0,52.0
285,53.0,51.0,53.0,51.0,53.0,52.0,52.0,52.0,52.0,52.0
286,51.0,52.0,54.0,51.0,52.0,53.0,54.0,52.0,51.0,53.0
287,51.0,52.0,52.0,52.0,53.0,51.0,52.0,51.0,50.0,53.0
288,52.0,54.0,51.0,53.0,52.0,52.0,54.0,50.0,52.0,51.0
289,54.0,52.0,53.0,52.0,51.0,53.0,53.0,53.0,52.0,51.0
290,51.0,51.0,52.0,53.0,52.0,53.0,54.0,51.0,52.0,52.0
291,51.0,52.0,52.0,53.0,51.0,54.0,53.0,52.0,53.0,51.0
292,51.0,54.0,53.0,50.0,51.0,50.0,54.0,53.0,53.0,53.0
293,52.0,51.0,53.0,54.0,53.0,52.0,53.0,51.0,54.0,53.0
294,53.0,52.0,53.0,54.0,52.0,53.0,54.0,52.0,51.0,52.0
295,52.0,51.0,50.0,53.0,54.0,53.0,54.0,52.0,53.0,51.0
296,53.0,52.0,49.0,54.0,53.0,52.0,53.0,54.0,52.0,52.0
297,54.0,51.0,49.0,52.0,52.0,53.0,52.0,52.0,52.0,51.0
298,50.0,53.0,53.0,51.0,53.0,54.0,53.0,52.0,52.0,51.0
299,52.0,52.0,52.0,52.0,53.0,52.0,53.0,52.0,54.0,52.0
300,51.0,50.0,51.0,53.0,53.0,53.0,55.0,51.0,52.0,52.0
301,49.0,51.0,53.0,52.0,53.0,52.0,52.0,52.0,54.0,52.0
302,52.0,52.0,51.0,52.0,53.0,51.0,52.0,52.0,52.0,54.0
303,53.0,53.0,51.0,50.0,50.0,53.0,54.0,50.0,51.0,52.0
304,54.0,50.0,52.0,50.0,52.0,53.0,52.0,53.0,53.0,51.0
305,51.0,52.0,50.0,51.0,53.0,51.0,53.0,51.0,54.0,54.0
306,52.0,52.0,52.0,53.0,51.0,54.0,51.0,53.0,53.0,53.0
307,51.0,50.0,52.0,49.0,53.0,51.0,52.0,53.0,52.0,52.0
308,53.0,49.0,51.0,52.0,52.0,53.0,53.0,53.0,51.0,54.0
309,53.0,50.0,53.0,51.0,52.0,52.0,51.0,52.0,50.0,53.0
310,51.0,51.0,52.0,50.0,53.0,53.0,54.0,52.0,52.0,54.0
311,52.0,52.0,53.0,51.0,53.0,53.0,52.0,52.0,52.0,53.0
312,51.0,53.0,52.0,52.0,52.0,54.0,53.0,50.0,54.0,52.0
313,52.0,52.0,53.0,51.0,52.0,53.0,53.0,51.0,53.0,51.0
314,52.0,53.0,53.0,51.0,52.0,51.0,54.0,53.0,53.0,53.0
315,50.0,53.0,52.0,53.0,53.0,51.0,52.0,54.0,54.0,52.0
316,51.0,51.0,52.0,53.0,54.0,53.0,53.0,53.0,52.0,52.0
317,53.0,49.0,53.0,53.0,55.0,52.0,53.0,53.0,52.0,53.0
318,53.0,54.0,51.0,52.0,51.0,51.0,52.0,52.0,54.0,52.0
319,51.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,52.0
320,52.0,51.0,50.0,51.0,54.0,52.0,52.0,51.0,53.0,53.0
321,54.0,50.0,51.0,51.0,52.0,53.0,54.0,51.0,54.0,53.0
322,53.0,53.0,53.0,51.0,53.0,54.0,54.0,53.0,53.0,52.0
323,53.0,49.0,52.0,54.0,53.0,52.0,51.0,52.0,54.0,52.0
324,53.0,51.0,52.0,54.0,54.0,53.0,53.0,52.0,54.0,53.0
