,event_0,event_1,event_2,event_3,event_4,event_5,event_6,event_7,event_8,event_9,event_10,event_11,event_12,event_13,event_14,event_15,event_16,event_17,event_18,event_19
877,51.0,51.0,55.0,55.0,53.0,53.0,54.0,51.0,53.0,53.0,55.0,55.0,55.0,56.0,56.0,56.0,52.0,54.0,53.0,55.0
878,53.0,53.0,55.0,55.0,51.0,51.0,53.0,52.0,51.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0,52.0,54.0,52.0,55.0
879,52.0,52.0,53.0,53.0,52.0,52.0,53.0,51.0,53.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,53.0,52.0,54.0
880,52.0,52.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,55.0,54.0,54.0,54.0,56.0,56.0,56.0,54.0,51.0,52.0,52.0
881,55.0,55.0,52.0,52.0,51.0,51.0,53.0,52.0,53.0,53.0,54.0,54.0,54.0,53.0,53.0,53.0,54.0,53.0,53.0,57.0
882,51.0,51.0,52.0,52.0,54.0,54.0,53.0,52.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,51.0,54.0,54.0
883,49.0,49.0,54.0,54.0,52.0,52.0,55.0,53.0,51.0,53.0,53.0,53.0,53.0,55.0,55.0,55.0,54.0,54.0,53.0,52.0
884,52.0,52.0,53.0,53.0,52.0,52.0,53.0,54.0,53.0,52.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0
885,53.0,53.0,51.0,51.0,54.0,54.0,52.0,53.0,54.0,49.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,49.0,50.0,54.0
886,53.0,53.0,52.0,52.0,53.0,53.0,51.0,53.0,52.0,52.0,53.0,53.0,53.0,52.0,52.0,52.0,53.0,53.0,53.0,54.0
887,52.0,52.0,55.0,55.0,55.0,55.0,54.0,51.0,53.0,51.0,51.0,51.0,51.0,55.0,55.0,55.0,55.0,52.0,53.0,51.0
888,53.0,53.0,54.0,54.0,53.0,53.0,52.0,53.0,53.0,51.0,51.0,51.0,51.0,53.0,53.0,53.0,52.0,52.0,50.0,51.0
889,51.0,51.0,52.0,52.0,51.0,51.0,52.0,52.0,53.0,52.0,54.0,54.0,54.0,54.0,54.0,54.0,51.0,52.0,52.0,53.0
890,53.0,53.0,54.0,54.0,52.0,52.0,53.0,53.0,55.0,52.0,54.0,54.0,54.0,53.0,53.0,53.0,51.0,55.0,52.0,53.0
