,peak_X0,peak_Y0
event_798,104.0,-70.8
event_799,104.0,-70.8
event_800,104.0,-70.8
event_801,104.0,-70.8
event_802,104.0,-70.8
event_803,104.0,-70.8
event_804,104.0,-70.8
event_805,104.0,-70.8
event_806,103.0,-70.8
event_807,104.0,-70.8
event_808,103.0,-44.8
event_809,104.0,-68.4
event_810,103.0,-68.0
event_811,103.0,-68.0
event_812,103.0,-67.2
event_813,103.0,-70.8
event_814,104.0,-70.8
event_815,104.0,-70.8
event_816,104.0,-70.8
event_817,104.0,-70.8
event_818,103.0,-61.2
event_819,103.0,-44.8
event_820,103.0,-70.8
event_821,103.0,-51.6
event_822,104.0,-60.00000000000001
event_823,103.0,-56.400000000000006
event_824,103.0,-70.8
event_825,104.0,-70.8
event_826,104.0,-70.8
event_827,104.0,-70.8
event_828,105.0,-70.8
event_829,105.0,-70.8
event_830,103.0,-60.8
event_831,103.0,-70.8
event_832,104.0,-64.4
event_833,103.0,-60.400000000000006
event_834,104.0,-67.2
event_835,103.0,-45.2
event_836,103.0,-64.4
event_837,103.0,-47.6
event_838,103.0,-70.8
event_839,103.0,-70.8
event_840,104.0,-70.8
event_841,104.0,-70.8
event_842,104.0,-70.8
event_843,103.0,-64.8
event_844,104.0,-59.2
event_845,104.0,-70.8
event_846,104.0,-70.8
event_847,104.0,-70.8
event_848,104.0,-70.8
event_849,103.0,-70.8
event_850,102.0,-41.2
event_851,104.0,-70.8
event_852,104.0,-70.8
event_853,103.0,-44.4
event_854,103.0,-70.8
event_855,103.0,-70.8
event_856,104.0,-70.8
event_857,104.0,-70.8
event_858,104.0,-70.8
event_859,103.0,-44.00000000000001
event_860,104.0,-70.8
event_861,103.0,-67.2
event_862,104.0,-70.8
event_863,104.0,-70.8
event_864,103.0,-70.8
event_865,103.0,-43.2
event_866,104.0,-70.8
event_867,104.0,-52.400000000000006
event_868,103.0,-49.2
event_869,104.0,-70.8
event_870,104.0,-70.8
event_871,103.0,-70.8
event_872,103.0,-62.0
event_873,103.0,-70.8
event_874,104.0,-70.8
event_875,103.0,-56.0
