,peak_X0,peak_X1,peak_Y0,peak_Y1
event_459,103.0,361.0,27.599999999999994,87.6
event_460,104.0,777.0,72.0,34.8
event_461,104.0,754.0,120.0,118.79999999999998
event_462,104.0,604.0,96.0,115.2
event_463,104.0,350.0,60.0,99.6
event_464,104.0,653.0,64.8,68.39999999999999
event_465,104.0,783.0,78.0,94.8
event_466,104.0,514.0,38.4,105.59999999999998
event_467,104.0,1229.0,126.0,14.4
event_468,104.0,1693.0,80.4,46.8
event_469,104.0,261.0,109.2,50.39999999999999
event_470,103.0,344.0,53.99999999999999,25.2
event_471,104.0,434.0,110.39999999999998,38.4
event_472,104.0,674.0,41.99999999999999,14.4
event_473,104.0,2105.0,80.4,47.99999999999999
event_474,104.0,322.0,99.6,53.99999999999999
event_475,104.0,504.0,41.99999999999999,123.6
event_476,105.0,379.0,122.4,61.2
event_477,105.0,1352.0,166.79999999999998,10.8
event_478,104.0,460.0,75.59999999999998,34.8
event_479,104.0,716.0,154.79999999999998,31.2
event_480,104.0,911.0,70.79999999999998,16.8
event_481,104.0,1254.0,111.6,49.2
event_482,104.0,336.0,73.19999999999999,20.4
event_483,105.0,431.0,123.6,103.2
event_484,105.0,866.0,118.79999999999998,78.0
event_485,104.0,428.0,123.6,108.0
event_486,104.0,924.0,44.39999999999999,78.0
event_487,104.0,1021.0,106.8,26.399999999999995
event_488,104.0,404.0,67.2,20.4
event_489,103.0,736.0,47.99999999999999,47.99999999999999
event_490,105.0,1751.0,83.99999999999999,52.79999999999999
event_491,104.0,693.0,91.2,25.2
event_492,103.0,999.0,65.99999999999999,19.2
event_493,104.0,517.0,63.59999999999999,22.8
event_494,104.0,372.0,50.39999999999999,14.4
event_495,104.0,746.0,55.19999999999999,78.0
event_496,103.0,1422.0,32.4,19.2
event_497,104.0,377.0,98.4,116.4
event_498,104.0,552.0,41.99999999999999,9.6
event_499,104.0,585.0,68.39999999999999,36.0
event_500,105.0,887.0,133.2,32.4
event_501,104.0,1475.0,31.2,37.2
event_502,104.0,283.0,108.0,21.6
event_503,104.0,623.0,167.99999999999997,33.6
event_504,104.0,426.0,72.0,73.19999999999999
event_505,104.0,1471.0,93.6,109.2
event_506,104.0,286.0,105.59999999999998,55.19999999999999
event_507,104.0,997.0,83.99999999999999,10.8
event_508,104.0,879.0,64.8,14.4
event_509,104.0,351.0,32.4,32.4
event_510,104.0,1504.0,127.19999999999996,53.99999999999999
event_511,104.0,280.0,87.6,68.39999999999999
event_512,103.0,1140.0,37.2,14.4
event_513,104.0,275.0,53.99999999999999,26.399999999999995
event_514,104.0,1746.0,60.0,10.8
event_515,104.0,1083.0,127.19999999999996,22.8
event_516,105.0,269.0,72.0,36.0
event_517,105.0,281.0,124.8,22.8
event_518,104.0,470.0,72.0,31.2
event_519,105.0,581.0,288.0,31.2
event_520,105.0,652.0,60.0,47.99999999999999
event_521,105.0,648.0,118.79999999999998,45.6
event_522,104.0,844.0,31.2,46.8
event_523,105.0,528.0,83.99999999999999,41.99999999999999
event_524,105.0,542.0,109.2,40.8
event_525,104.0,443.0,78.0,33.6
event_526,104.0,1065.0,32.4,18.0
event_527,104.0,1132.0,43.2,30.0
event_528,105.0,1229.0,122.4,43.2
event_529,105.0,983.0,97.2,49.2
event_530,105.0,446.0,103.2,20.4
event_531,105.0,874.0,70.79999999999998,15.6
event_532,105.0,495.0,61.2,14.4
event_533,104.0,1248.0,36.0,21.6
